#,Module,Sub Module,Feature,Feature Description,Type,Phase #,Priority Phase,Priority,Shared in BRS?,Comments,Effected Pages
70,General guidline,Report,"Consolidated Reports (Open Purchase Orders, Open Transfer Requests)",Add Consolidated Reports for Open Purchase Orders and Open Transfer Requests by item,New,Unassigned,Phase 3,,No,,New Pages
71,Customer Portal,Item Setup,Master Data Sync,Enable automatic Master Data synchronization based on a predefined frequency configured in the Admin panel (frequency may vary per customer).,Enhancment,Unassigned,Phase 1,,No,,NA
72,Customer Portal,Admin,Document Series,Support different document serial number series when posting transactions. The series should be determined via Warehouse Mapping in the customer portal (configurable per customer). Serial number series must be retrieved from SAP Business One.,New,Unassigned,Phase 2,,No,,All Pages
73,Inventory,Stock Counting,Stock Posting Item Cost,"In Stock Posting, automatically retrieve the item cost when the counted quantity is greater than the stock-on-hand quantity.",Enhancment,Unassigned,Phase 1,It shoudl be there in existing code but double check,No,,Stock Counting
74,General guidline,All Documents,Create UDFs and Service Layer Queries,Auto Create UDF when initilize the company,Enhancment,Unassigned,Phase 1,,No,,NA
75,Login Page,,SAP B1 Licenses User Login,"If the user has an SAP Business One account, the application must authenticate access using that user; otherwise, it should log in using the default user configured in the admin panel.",New,Unassigned,Phase 1,,No,,Login
76,IOS,IOS,iOS Deployment,Have a release to be work on iOS,New,Unassigned,Phase 3,,No,,NA
77,Customer Portal,Warehouse Setup,Enhance Warehouses,Enhance the Warehouses and Suppliers pages by displaying additional information fields. - Cost Centers / Location Details and so on,Enhancment,Phase 3,,,No,,Warehouses Pages
78,General guidline,All Documents,Set discount,Add Discount field on a line or header level and read based on saved values in previous document - non editable,New,Unassigned,Phase 2,,No,,"Purchasing, Sales Pages"
79,General guidline,Purchasing and sales,Change discount,If user is authorized discount ccan be edited cbased on autorization and allowed discount percentage,,,,,,,
80,General guidline,All Documents,Change VAT,If user is authorized VAT Code can be changed based on pre-defined list of VAT Codes from SAP,New,Unassigned,Phase 2,,No,,"Purchasing, Sales Pages"
81,General guidline,All Documents,Approval,All document are subject to Approval ,New,,Phase 1,,,,
82,General guidline,All Documents,Authorization,All documents are subject to Authorization,New,,Phase 1,,,,
83,General guidline,All Documents,Notfication,All documents are subject to notfication,New,,Phase 1,,,,
84,General guidline,All Documents,Layouts,All documents are subject to Layouts,New,,Phase 1,,,,
85,General guidline,All Documents,Save as draft,All documents are subject to save as draft,New,,Phase 1,,,,
86,General guidline,All Documents,Field update,"Authoity on the Price , add item , remove item , change field value",New,,Phase 1,,,,
87,General guidline,All Documents,,All document filter document list by header fields ,New,,Phase 1,,,,
88,Franchise Process,Purchasing and sales,,"Franchise Process for PO and Deliveries , automate creation of Sales Orders and receivings (Different Companies)",,,,,,,
